comparison,comparison_raw,metric,metric_label,metric_raw,p_adjustment,significance_frequency,median_effect_size_r,effect_size_r_ci95_lower,effect_size_r_ci95_upper,n_bootstrap_replicates
SDF–DOF,FED - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.9145,0.3576714273059418,0.1913187777601106,0.5202562388988673,2000
SDF–DOF,FED - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.9535,0.3576714273059418,0.1913187777601106,0.5202562388988673,2000
DOF–MOF,FOD - FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.6175,0.2774131945470431,0.09146652983012875,0.45069454384010366,2000
DOF–MOF,FOD - FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.782,0.2774131945470431,0.09146652983012875,0.45069454384010366,2000
SSdF–MOF,FES - FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.1485,0.14655298842862713,0.0081089240962557,0.32708584502202387,2000
SSdF–MOF,FES - FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.2755,0.14655298842862713,0.0081089240962557,0.32708584502202387,2000
SDF–MOF,FED - FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.0255,0.08650855655509573,0.0037236875658483767,0.24778389534224665,2000
SDF–MOF,FED - FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.0825,0.08650855655509573,0.0037236875658483767,0.24778389534224665,2000
SDF–SSdF,FED - FES,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.0185,0.07367572921371487,0.0037237126392698195,0.2348770579728523,2000
SDF–SSdF,FED - FES,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.0565,0.07367572921371487,0.0037237126392698195,0.2348770579728523,2000
