scenario,metric,metric_label,comparison,adjustment,median_r,proportion_significant
S1_baseline,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.36000512408941904,0.8545
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.3559900035659819,0.85
S_night_only,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.3469096976407011,0.848
S_sens080,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.37040686269365,0.864
S_sens090,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.37040686269365,0.864
S_sens095,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.36427759639378143,0.858
S_sens099,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.35897921212215933,0.714
S_strong_beams,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.37351749901832226,0.874
S0_no_qc,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.07154728548738679,0.034
S1_baseline,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.06537382049126629,0.01
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.07098365352947707,0.006
S_night_only,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.06652279591827928,0.01
S_sens080,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.06261883928742945,0.008
S_sens090,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.06261883928742945,0.008
S_sens095,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.061998561687067924,0.008
S_sens099,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.07824295941285393,0.006
S_strong_beams,COVER,"Canopy cover (COVER, %)",SSdF–MOF,Bonferroni,0.06869622669037151,0.016
S0_no_qc,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.27614826958428895,0.64
S1_baseline,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.27072723216247985,0.5935
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.26815261123199086,0.576
S_night_only,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.29475767534351616,0.658
S_sens080,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.2766505830664933,0.628
S_sens090,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.2766505830664933,0.628
S_sens095,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.2938040193757748,0.682
S_sens099,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.33617897250942796,0.65
S_strong_beams,FHD,Foliage height diversity (FHD),DOF–MOF,Bonferroni,0.3561824147716113,0.88
S0_no_qc,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.07899529644896075,0.032
S1_baseline,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.09623569887374943,0.0485
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.08305252559640702,0.03
S_night_only,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.08919080268408479,0.036
S_sens080,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.09230891936267047,0.052
S_sens090,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.09230891936267047,0.052
S_sens095,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.08128664472058864,0.038
S_sens099,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.0785149770424128,0.002
S_strong_beams,FHD,Foliage height diversity (FHD),SDF–DOF,Bonferroni,0.06765806413608297,0.004
S0_no_qc,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.34344066059423983,0.91
S1_baseline,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.3624153093992066,0.926
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.33349590058339307,0.882
S_night_only,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.3803940372222626,0.952
S_sens080,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.36041820729470764,0.928
S_sens090,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.36041820729470764,0.928
S_sens095,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.35814688554809915,0.916
S_sens099,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.3452142171894125,0.68
S_strong_beams,FHD,Foliage height diversity (FHD),SDF–MOF,Bonferroni,0.37815058489224823,0.944
S0_no_qc,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.47875591849289223,0.992
S1_baseline,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.4651951274883024,0.9925
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.44418492952619504,0.984
S_night_only,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.45217533837932883,0.998
S_sens080,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.4645053255618114,0.998
S_sens090,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.4645053255618114,0.998
S_sens095,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.4587215083801688,0.996
S_sens099,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.4043039591321014,0.864
S_strong_beams,FHD,Foliage height diversity (FHD),SDF–SSdF,Bonferroni,0.41793326177592144,0.962
S0_no_qc,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.40368448414749136,0.93
S1_baseline,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.3753672967455416,0.9025
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.36905896302710395,0.876
S_night_only,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.3625425316102603,0.874
S_sens080,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.389213868612951,0.9
S_sens090,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.389213868612951,0.9
S_sens095,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.40044026952279854,0.91
