variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario,r_base,prop_sig_base,delta_r,delta_prop_sig
pai,FED - FOD,SDF–DOF,Bonferroni,0.34326532258515646,0.87,S_sens080,0.3380315131930446,0.8635,0.005233809392111877,0.00649999999999995
pai,FED - FOD,SDF–DOF,FDR,0.34326532258515646,0.924,S_sens080,0.3380315131930446,0.9215,0.005233809392111877,0.0025000000000000577
pai,FED - FOM,SDF–MOF,Bonferroni,0.052147476869325415,0.002,S_sens080,0.05490322931049988,0.0025,-0.0027557524411744652,-5e-4
pai,FED - FOM,SDF–MOF,FDR,0.052147476869325415,0.018,S_sens080,0.05490322931049988,0.0125,-0.0027557524411744652,0.005499999999999998
pai,FES - FOD,SSdF–DOF,Bonferroni,0.3704063178809037,0.874,S_sens080,0.3605550676742469,0.857,0.009851250206656836,0.017000000000000015
pai,FES - FOD,SSdF–DOF,FDR,0.3704063178809037,0.922,S_sens080,0.3605550676742469,0.912,0.009851250206656836,0.010000000000000009
pai,FES - FOM,SSdF–MOF,Bonferroni,0.06399643816917727,0.008,S_sens080,0.0662005802201679,0.01,-0.0022041420509906345,-0.002
pai,FES - FOM,SSdF–MOF,FDR,0.06399643816917727,0.032,S_sens080,0.0662005802201679,0.0345,-0.0022041420509906345,-0.0025000000000000022
pai,FOD - FOM,DOF–MOF,Bonferroni,0.35525052359651144,0.842,S_sens080,0.34657061674689765,0.846,0.008679906849613783,-0.0040000000000000036
pai,FOD - FOM,DOF–MOF,FDR,0.35525052359651144,0.908,S_sens080,0.34657061674689765,0.913,0.008679906849613783,-0.0050000000000000044
agbd,FED - FES,SDF–SSdF,Bonferroni,0.421035578995979,0.978,S_sens090,0.42138406180621046,0.975,-3.484828102314763e-4,0.0030000000000000027
agbd,FED - FES,SDF–SSdF,FDR,0.421035578995979,1,S_sens090,0.42138406180621046,0.995,-3.484828102314763e-4,0.0050000000000000044
agbd,FED - FOD,SDF–DOF,Bonferroni,0.06723394164533815,0.002,S_sens090,0.06275617077408308,0.001,0.004477770871255074,0.001
agbd,FED - FOD,SDF–DOF,FDR,0.06723394164533815,0.036,S_sens090,0.06275617077408308,0.032,0.004477770871255074,0.003999999999999997
agbd,FED - FOM,SDF–MOF,Bonferroni,0.3673101701793352,0.936,S_sens090,0.37033723321213174,0.9425,-0.0030270630327965398,-0.00649999999999995
agbd,FED - FOM,SDF–MOF,FDR,0.3673101701793352,0.994,S_sens090,0.37033723321213174,0.987,-0.0030270630327965398,0.007000000000000006
agbd,FES - FOD,SSdF–DOF,Bonferroni,0.42400200853647874,0.968,S_sens090,0.41270166394012103,0.953,0.011300344596357703,0.015000000000000013
agbd,FES - FOD,SSdF–DOF,FDR,0.42400200853647874,0.984,S_sens090,0.41270166394012103,0.982,0.011300344596357703,0.0020000000000000018
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.06998949640845957,0.01,S_sens090,0.06874954340341091,0.013,0.001239953005048658,-0.002999999999999999
agbd,FES - FOM,SSdF–MOF,FDR,0.06998949640845957,0.056,S_sens090,0.06874954340341091,0.05,0.001239953005048658,0.005999999999999998
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.3662735764243248,0.904,S_sens090,0.36055607824965663,0.8885,0.005717498174668156,0.01550000000000007
agbd,FOD - FOM,DOF–MOF,FDR,0.3662735764243248,0.966,S_sens090,0.36055607824965663,0.9635,0.005717498174668156,0.0024999999999999467
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.47800814266708036,1,S_sens090,0.48041868122876474,0.9965,-0.0024105385616843833,0.0034999999999999476
altura_dossel,FED - FES,SDF–SSdF,FDR,0.47800814266708036,1,S_sens090,0.48041868122876474,0.9985,-0.0024105385616843833,0.0014999999999999458
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.11366530466220684,0.09,S_sens090,0.1203461123801075,0.079,-0.006680807717900666,0.010999999999999996
altura_dossel,FED - FOD,SDF–DOF,FDR,0.11366530466220684,0.216,S_sens090,0.1203461123801075,0.211,-0.006680807717900666,0.0050000000000000044
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.38349616017949806,0.96,S_sens090,0.3828061108861761,0.951,6.900492933219482e-4,0.009000000000000008
altura_dossel,FED - FOM,SDF–MOF,FDR,0.38349616017949806,0.994,S_sens090,0.3828061108861761,0.9885,6.900492933219482e-4,0.005499999999999949
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.3751596831980166,0.892,S_sens090,0.3642756029796569,0.884,0.010884080218359737,0.008000000000000007
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.3751596831980166,0.958,S_sens090,0.3642756029796569,0.95,0.010884080218359737,0.008000000000000007
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.10092010935710842,0.024,S_sens090,0.10036847401312013,0.0345,5.51635343988291e-4,-0.010500000000000002
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.10092010935710842,0.124,S_sens090,0.10036847401312013,0.1285,5.51635343988291e-4,-0.004500000000000004
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.2752733928368952,0.6,S_sens090,0.26611181635441605,0.5705,0.009161576482479172,0.02949999999999997
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.2752733928368952,0.79,S_sens090,0.26611181635441605,0.7695,0.009161576482479172,0.020500000000000074
cover,FED - FES,SDF–SSdF,Bonferroni,0.060207186500352707,0.008,S_sens090,0.06454768387932068,0.007,-0.004340497378967974,0.001
cover,FED - FES,SDF–SSdF,FDR,0.060207186500352707,0.03,S_sens090,0.06454768387932068,0.0265,-0.004340497378967974,0.0034999999999999996
cover,FED - FOD,SDF–DOF,Bonferroni,0.34243904084893084,0.868,S_sens090,0.3374102638950317,0.858,0.005028776953899139,0.010000000000000009
cover,FED - FOD,SDF–DOF,FDR,0.34243904084893084,0.926,S_sens090,0.3374102638950317,0.9245,0.005028776953899139,0.0015000000000000568
cover,FED - FOM,SDF–MOF,Bonferroni,0.053249925162986426,0.002,S_sens090,0.05510971467877704,0.002,-0.0018597895157906122,0
cover,FED - FOM,SDF–MOF,FDR,0.053249925162986426,0.018,S_sens090,0.05510971467877704,0.0125,-0.0018597895157906122,0.005499999999999998
cover,FES - FOD,SSdF–DOF,Bonferroni,0.37040686269365,0.864,S_sens090,0.36000512408941904,0.8545,0.010401738604230937,0.009499999999999953
cover,FES - FOD,SSdF–DOF,FDR,0.37040686269365,0.926,S_sens090,0.36000512408941904,0.9135,0.010401738604230937,0.012500000000000067
cover,FES - FOM,SSdF–MOF,Bonferroni,0.06261883928742945,0.008,S_sens090,0.06537382049126629,0.01,-0.00275498120383684,-0.002
cover,FES - FOM,SSdF–MOF,FDR,0.06261883928742945,0.036,S_sens090,0.06537382049126629,0.035,-0.00275498120383684,9.99999999999994e-4
cover,FOD - FOM,DOF–MOF,Bonferroni,0.35841937635866783,0.848,S_sens090,0.34746712205711616,0.853,0.010952254301551667,-0.0050000000000000044
cover,FOD - FOM,DOF–MOF,FDR,0.35841937635866783,0.912,S_sens090,0.34746712205711616,0.9155,0.010952254301551667,-0.0034999999999999476
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.4645053255618114,0.998,S_sens090,0.4651951274883024,0.9925,-6.898019264909849e-4,0.005499999999999949
fhd_normal,FED - FES,SDF–SSdF,FDR,0.4645053255618114,1,S_sens090,0.4651951274883024,0.9965,-6.898019264909849e-4,0.0034999999999999476
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.09230891936267047,0.052,S_sens090,0.09623569887374943,0.0485,-0.003926779511078962,0.003499999999999996
fhd_normal,FED - FOD,SDF–DOF,FDR,0.09230891936267047,0.142,S_sens090,0.09623569887374943,0.14,-0.003926779511078962,0.001999999999999974
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.36041820729470764,0.928,S_sens090,0.3624153093992066,0.926,-0.001997102104498938,0.0020000000000000018
fhd_normal,FED - FOM,SDF–MOF,FDR,0.36041820729470764,0.988,S_sens090,0.3624153093992066,0.978,-0.001997102104498938,0.010000000000000009
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.389213868612951,0.9,S_sens090,0.3753672967455416,0.9025,0.013846571867409396,-0.0024999999999999467
fhd_normal,FES - FOD,SSdF–DOF,FDR,0.389213868612951,0.96,S_sens090,0.3753672967455416,0.9555,0.013846571867409396,0.0044999999999999485
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,0.10753273033814742,0.038,S_sens090,0.10443324384336733,0.0455,0.0030994864947800904,-0.0075
fhd_normal,FES - FOM,SSdF–MOF,FDR,0.10753273033814742,0.136,S_sens090,0.10443324384336733,0.14,0.0030994864947800904,-0.0040000000000000036
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,0.2766505830664933,0.628,S_sens090,0.27072723216247985,0.5935,0.005923350904013469,0.034499999999999975
fhd_normal,FOD - FOM,DOF–MOF,FDR,0.2766505830664933,0.796,S_sens090,0.27072723216247985,0.777,0.005923350904013469,0.019000000000000017
pai,FED - FES,SDF–SSdF,Bonferroni,0.060758622088247644,0.008,S_sens090,0.06530505547504291,0.007,-0.004546433386795265,0.001
pai,FED - FES,SDF–SSdF,FDR,0.060758622088247644,0.028,S_sens090,0.06530505547504291,0.027,-0.004546433386795265,0.0010000000000000009
pai,FED - FOD,SDF–DOF,Bonferroni,0.34326532258515646,0.87,S_sens090,0.3380315131930446,0.8635,0.005233809392111877,0.00649999999999995
pai,FED - FOD,SDF–DOF,FDR,0.34326532258515646,0.924,S_sens090,0.3380315131930446,0.9215,0.005233809392111877,0.0025000000000000577
pai,FED - FOM,SDF–MOF,Bonferroni,0.052147476869325415,0.002,S_sens090,0.05490322931049988,0.0025,-0.0027557524411744652,-5e-4
pai,FED - FOM,SDF–MOF,FDR,0.052147476869325415,0.018,S_sens090,0.05490322931049988,0.0125,-0.0027557524411744652,0.005499999999999998
pai,FES - FOD,SSdF–DOF,Bonferroni,0.3704063178809037,0.874,S_sens090,0.3605550676742469,0.857,0.009851250206656836,0.017000000000000015
pai,FES - FOD,SSdF–DOF,FDR,0.3704063178809037,0.922,S_sens090,0.3605550676742469,0.912,0.009851250206656836,0.010000000000000009
pai,FES - FOM,SSdF–MOF,Bonferroni,0.06399643816917727,0.008,S_sens090,0.0662005802201679,0.01,-0.0022041420509906345,-0.002
pai,FES - FOM,SSdF–MOF,FDR,0.06399643816917727,0.032,S_sens090,0.0662005802201679,0.0345,-0.0022041420509906345,-0.0025000000000000022
pai,FOD - FOM,DOF–MOF,Bonferroni,0.35525052359651144,0.842,S_sens090,0.34657061674689765,0.846,0.008679906849613783,-0.0040000000000000036
pai,FOD - FOM,DOF–MOF,FDR,0.35525052359651144,0.908,S_sens090,0.34657061674689765,0.913,0.008679906849613783,-0.0050000000000000044
agbd,FED - FES,SDF–SSdF,Bonferroni,0.41132743856558057,0.974,S_sens095,0.42138406180621046,0.975,-0.010056623240629892,-0.0010000000000000009
agbd,FED - FES,SDF–SSdF,FDR,0.41132743856558057,0.998,S_sens095,0.42138406180621046,0.995,-0.010056623240629892,0.0030000000000000027
agbd,FED - FOD,SDF–DOF,Bonferroni,0.06606336031748795,0.004,S_sens095,0.06275617077408308,0.001,0.0033071895434048787,0.003
agbd,FED - FOD,SDF–DOF,FDR,0.06606336031748795,0.052,S_sens095,0.06275617077408308,0.032,0.0033071895434048787,0.019999999999999997
agbd,FED - FOM,SDF–MOF,Bonferroni,0.362002566168496,0.936,S_sens095,0.37033723321213174,0.9425,-0.008334667043635724,-0.00649999999999995
agbd,FED - FOM,SDF–MOF,FDR,0.362002566168496,0.992,S_sens095,0.37033723321213174,0.987,-0.008334667043635724,0.0050000000000000044
agbd,FES - FOD,SSdF–DOF,Bonferroni,0.443359902708382,0.98,S_sens095,0.41270166394012103,0.953,0.03065823876826096,0.027000000000000024
agbd,FES - FOD,SSdF–DOF,FDR,0.443359902708382,0.988,S_sens095,0.41270166394012103,0.982,0.03065823876826096,0.006000000000000005
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.06764726568130504,0.01,S_sens095,0.06874954340341091,0.013,-0.0011022777221058738,-0.002999999999999999
agbd,FES - FOM,SSdF–MOF,FDR,0.06764726568130504,0.042,S_sens095,0.06874954340341091,0.05,-0.0011022777221058738,-0.008
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.39134739119719814,0.936,S_sens095,0.36055607824965663,0.8885,0.030791312947541505,0.0475000000000001
agbd,FOD - FOM,DOF–MOF,FDR,0.39134739119719814,0.976,S_sens095,0.36055607824965663,0.9635,0.030791312947541505,0.012499999999999956
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.47669992254471294,1,S_sens095,0.48041868122876474,0.9965,-0.003718758684051804,0.0034999999999999476
altura_dossel,FED - FES,SDF–SSdF,FDR,0.47669992254471294,1,S_sens095,0.48041868122876474,0.9985,-0.003718758684051804,0.0014999999999999458
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.10250423446987035,0.07,S_sens095,0.1203461123801075,0.079,-0.017841877910237156,-0.008999999999999994
altura_dossel,FED - FOD,SDF–DOF,FDR,0.10250423446987035,0.152,S_sens095,0.1203461123801075,0.211,-0.017841877910237156,-0.059
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.3894193849760893,0.97,S_sens095,0.3828061108861761,0.951,0.00661327408991319,0.019000000000000017
altura_dossel,FED - FOM,SDF–MOF,FDR,0.3894193849760893,0.994,S_sens095,0.3828061108861761,0.9885,0.00661327408991319,0.005499999999999949
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.38597430254030896,0.916,S_sens095,0.3642756029796569,0.884,0.02169869956065207,0.03200000000000003
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.38597430254030896,0.962,S_sens095,0.3642756029796569,0.95,0.02169869956065207,0.01200000000000001
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.09038017309201352,0.02,S_sens095,0.10036847401312013,0.0345,-0.009988300921106613,-0.014500000000000002
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.09038017309201352,0.118,S_sens095,0.10036847401312013,0.1285,-0.009988300921106613,-0.01050000000000001
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.29552493777389605,0.678,S_sens095,0.26611181635441605,0.5705,0.029413121419479993,0.10750000000000004
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.29552493777389605,0.822,S_sens095,0.26611181635441605,0.7695,0.029413121419479993,0.05249999999999999
cover,FED - FES,SDF–SSdF,Bonferroni,0.06592513682936971,0.01,S_sens095,0.06454768387932068,0.007,0.0013774529500490268,0.003
cover,FED - FES,SDF–SSdF,FDR,0.06592513682936971,0.056,S_sens095,0.06454768387932068,0.0265,0.0013774529500490268,0.029500000000000002
cover,FED - FOD,SDF–DOF,Bonferroni,0.30778915298388265,0.748,S_sens095,0.3374102638950317,0.858,-0.02962111091114905,-0.10999999999999999
cover,FED - FOD,SDF–DOF,FDR,0.30778915298388265,0.872,S_sens095,0.3374102638950317,0.9245,-0.02962111091114905,-0.05249999999999999
cover,FED - FOM,SDF–MOF,Bonferroni,0.06461623580627712,0.012,S_sens095,0.05510971467877704,0.002,0.009506521127500084,0.01
cover,FED - FOM,SDF–MOF,FDR,0.06461623580627712,0.03,S_sens095,0.05510971467877704,0.0125,0.009506521127500084,0.017499999999999998
