var_row,var_col,rho,tag
altura_dossel,cover,0.6009302821903756,S_sens099_polygon
agbd,cover,0.5460527402896111,S_sens099_polygon
pai,cover,0.9932574051481665,S_sens099_polygon
cover,cover,1,S_sens099_polygon
fhd_normal,cover,0.5872014130223578,S_sens099_polygon
altura_dossel,fhd_normal,0.9586174933187229,S_sens099_polygon
agbd,fhd_normal,0.8329590875237647,S_sens099_polygon
pai,fhd_normal,0.5752889911033103,S_sens099_polygon
cover,fhd_normal,0.5872014130223578,S_sens099_polygon
fhd_normal,fhd_normal,1,S_sens099_polygon
altura_dossel,altura_dossel,1,S_strong_beams_polygon
agbd,altura_dossel,0.9177723903553746,S_strong_beams_polygon
pai,altura_dossel,0.596082237131222,S_strong_beams_polygon
cover,altura_dossel,0.5994843699645505,S_strong_beams_polygon
fhd_normal,altura_dossel,0.9760997421849822,S_strong_beams_polygon
altura_dossel,agbd,0.9177723903553746,S_strong_beams_polygon
agbd,agbd,1,S_strong_beams_polygon
pai,agbd,0.637655274953857,S_strong_beams_polygon
cover,agbd,0.6432667799490229,S_strong_beams_polygon
fhd_normal,agbd,0.9134470307327219,S_strong_beams_polygon
altura_dossel,pai,0.596082237131222,S_strong_beams_polygon
agbd,pai,0.637655274953857,S_strong_beams_polygon
pai,pai,1,S_strong_beams_polygon
cover,pai,0.9963883924647702,S_strong_beams_polygon
fhd_normal,pai,0.614694723581285,S_strong_beams_polygon
altura_dossel,cover,0.5994843699645505,S_strong_beams_polygon
agbd,cover,0.6432667799490229,S_strong_beams_polygon
pai,cover,0.9963883924647702,S_strong_beams_polygon
cover,cover,1,S_strong_beams_polygon
fhd_normal,cover,0.6196477748806141,S_strong_beams_polygon
altura_dossel,fhd_normal,0.9760997421849822,S_strong_beams_polygon
agbd,fhd_normal,0.9134470307327219,S_strong_beams_polygon
pai,fhd_normal,0.614694723581285,S_strong_beams_polygon
cover,fhd_normal,0.6196477748806141,S_strong_beams_polygon
fhd_normal,fhd_normal,1,S_strong_beams_polygon
altura_dossel,altura_dossel,1,S_night_only_polygon
agbd,altura_dossel,0.9134280108883027,S_night_only_polygon
pai,altura_dossel,0.5333632800052215,S_night_only_polygon
cover,altura_dossel,0.5338938736020088,S_night_only_polygon
fhd_normal,altura_dossel,0.976670774735759,S_night_only_polygon
altura_dossel,agbd,0.9134280108883027,S_night_only_polygon
agbd,agbd,1,S_night_only_polygon
pai,agbd,0.6346052990251975,S_night_only_polygon
cover,agbd,0.6365126716654572,S_night_only_polygon
fhd_normal,agbd,0.9140415337303186,S_night_only_polygon
altura_dossel,pai,0.5333632800052215,S_night_only_polygon
agbd,pai,0.6346052990251975,S_night_only_polygon
pai,pai,1,S_night_only_polygon
cover,pai,0.9982350660170543,S_night_only_polygon
fhd_normal,pai,0.5502846853487827,S_night_only_polygon
altura_dossel,cover,0.5338938736020088,S_night_only_polygon
agbd,cover,0.6365126716654572,S_night_only_polygon
pai,cover,0.9982350660170543,S_night_only_polygon
cover,cover,1,S_night_only_polygon
fhd_normal,cover,0.5525345250573018,S_night_only_polygon
altura_dossel,fhd_normal,0.976670774735759,S_night_only_polygon
agbd,fhd_normal,0.9140415337303186,S_night_only_polygon
pai,fhd_normal,0.5502846853487827,S_night_only_polygon
cover,fhd_normal,0.5525345250573018,S_night_only_polygon
fhd_normal,fhd_normal,1,S_night_only_polygon
altura_dossel,altura_dossel,1,S_agbd_low_uncert_polygon
agbd,altura_dossel,0.860750067550961,S_agbd_low_uncert_polygon
pai,altura_dossel,0.3876677133885241,S_agbd_low_uncert_polygon
cover,altura_dossel,0.38499834366570446,S_agbd_low_uncert_polygon
fhd_normal,altura_dossel,0.9612073502473348,S_agbd_low_uncert_polygon
altura_dossel,agbd,0.860750067550961,S_agbd_low_uncert_polygon
agbd,agbd,1,S_agbd_low_uncert_polygon
pai,agbd,0.43993063241438585,S_agbd_low_uncert_polygon
cover,agbd,0.4394476239617379,S_agbd_low_uncert_polygon
fhd_normal,agbd,0.8556503024642236,S_agbd_low_uncert_polygon
altura_dossel,pai,0.3876677133885241,S_agbd_low_uncert_polygon
agbd,pai,0.43993063241438585,S_agbd_low_uncert_polygon
pai,pai,1,S_agbd_low_uncert_polygon
cover,pai,0.997951335829793,S_agbd_low_uncert_polygon
fhd_normal,pai,0.39341087268291713,S_agbd_low_uncert_polygon
altura_dossel,cover,0.38499834366570446,S_agbd_low_uncert_polygon
agbd,cover,0.4394476239617379,S_agbd_low_uncert_polygon
pai,cover,0.997951335829793,S_agbd_low_uncert_polygon
cover,cover,1,S_agbd_low_uncert_polygon
fhd_normal,cover,0.3943669669211709,S_agbd_low_uncert_polygon
altura_dossel,fhd_normal,0.9612073502473348,S_agbd_low_uncert_polygon
agbd,fhd_normal,0.8556503024642236,S_agbd_low_uncert_polygon
pai,fhd_normal,0.39341087268291713,S_agbd_low_uncert_polygon
cover,fhd_normal,0.3943669669211709,S_agbd_low_uncert_polygon
fhd_normal,fhd_normal,1,S_agbd_low_uncert_polygon
