variavel,p_global_median,eps2_median,eps2_p025,eps2_p975,scenario,eps2_base,delta_eps2
agbd,1.4253468046052515e-5,0.14209136240495607,0.05263741783640423,0.2698331820757144,S_sens099,0.15115329977542818,-0.009061937370472117
altura_dossel,2.019136393561773e-5,0.13745263457860313,0.049769517635348225,0.27037760251914034,S_sens099,0.1485315097965748,-0.011078875217971684
cover,0.002639292314520136,0.07182540306782503,0.009109227249946887,0.16479716243464776,S_sens099,0.08728501119974208,-0.015459608131917046
fhd_normal,3.131516309089354e-5,0.13160025540480452,0.0427142065897937,0.26623056083059693,S_sens099,0.14180902993047045,-0.010208774525665931
pai,0.0032852569736461505,0.06882963885855671,0.005733775146270326,0.15789586088257984,S_sens099,0.0873491584396828,-0.01851951958112609
agbd,4.8543650299773274e-8,0.16612809565120581,0.08175130822928794,0.2647648699562546,S_strong_beams,0.15115329977542818,0.01497479587577763
altura_dossel,6.319512900212497e-7,0.14025175399260875,0.06537143315953942,0.23983551406222064,S_strong_beams,0.1485315097965748,-0.00827975580396606
cover,2.5968269263245482e-5,0.10254556413649452,0.03302485669371331,0.19956386551333782,S_strong_beams,0.08728501119974208,0.015260552936752436
fhd_normal,3.329435934112988e-7,0.1467285502308257,0.06576384788547333,0.24124065875360717,S_strong_beams,0.14180902993047045,0.004919520300355251
pai,2.4743965619091383e-05,0.10303896654003952,0.03154444205074289,0.19761675739497642,S_strong_beams,0.0873491584396828,0.015689808100356722
agbd,1.8546092626651738e-6,0.12448178106793396,0.051150278724642145,0.22487018428132247,S_night_only,0.15115329977542818,-0.02667151870749422
altura_dossel,1.791774745273293e-7,0.14720416940003883,0.07176430989180813,0.24218803104638986,S_night_only,0.1485315097965748,-0.001327340396535981
cover,4.413136457438001e-4,0.07072171264942392,0.01577588808913087,0.16799428790292203,S_night_only,0.08728501119974208,-0.016563298550318156
fhd_normal,2.909953737988537e-7,0.14249482153830706,0.06593425231061527,0.23200864126046034,S_night_only,0.14180902993047045,6.857916078366055e-4
pai,4.1290513085170716e-4,0.07138274419785513,0.015128573810480873,0.16561067589218942,S_night_only,0.0873491584396828,-0.015966414241827667
agbd,1.345586542017216e-8,0.16908232394794917,0.07580533067759523,0.2614996797411684,S_agbd_low_uncert,0.15115329977542818,0.017929024172520985
altura_dossel,2.978651732151702e-7,0.1396360756816495,0.059777488652453956,0.22636905226037646,S_agbd_low_uncert,0.1485315097965748,-0.008895434114925299
cover,8.55575219375777e-5,0.08534100741951378,0.01807982528963159,0.1771977909633365,S_agbd_low_uncert,0.08728501119974208,-0.0019440037802282983
fhd_normal,7.320288901670246e-7,0.131056756868652,0.053677771311169124,0.22097250657577594,S_agbd_low_uncert,0.14180902993047045,-0.010752273061818446
pai,8.1461380077198e-5,0.08581870803417263,0.0188440378053321,0.17609820627318504,S_agbd_low_uncert,0.0873491584396828,-0.0015304504055101698
