variavel,comparacao,comparacao_en,ajuste,z,N_ref,r,p_adj,p_unadj,scenario
pai,FES - FOD,SSdF–DOF,FDR,-4.907681126622925,226,0.326454092509157,5.529571891868597e-6,9.215953153114328e-7,S_sens095
pai,FED - FOM,SDF–MOF,FDR,0.4890645882848244,116,0.04540850705598556,0.9371939563954103,0.6247959709302735,S_sens095
pai,FES - FOM,SSdF–MOF,FDR,0.20902630559570032,150,0.017066926384284333,0.834427703281311,0.834427703281311,S_sens095
pai,FOD - FOM,DOF–MOF,FDR,4.527641479511178,196,0.323402962822227,1.7893699806438726e-5,5.964566602146242e-6,S_sens095
cover,FED - FES,SDF–SSdF,Bonferroni,0.35317799710153924,146,0.029229219012602392,1,0.723955002129349,S_sens095
cover,FED - FOD,SDF–DOF,Bonferroni,-3.833944996551256,192,0.2766911469771358,7.566261071420891e-4,1.261043511903482e-4,S_sens095
cover,FES - FOD,SSdF–DOF,Bonferroni,-4.922288044398364,226,0.3274257302263814,5.132291212814883e-6,8.553818688024805e-7,S_sens095
cover,FED - FOM,SDF–MOF,Bonferroni,0.49710010026936435,116,0.046154585613683005,1,0.619118463927542,S_sens095
cover,FES - FOM,SSdF–MOF,Bonferroni,0.19351790227730944,150,0.015800670555772896,1,0.8465533870528439,S_sens095
cover,FOD - FOM,DOF–MOF,Bonferroni,4.5237706614698805,196,0.32312647581927717,3.644852861561664e-5,6.07475476926944e-6,S_sens095
cover,FED - FES,SDF–SSdF,FDR,0.35317799710153924,146,0.029229219012602392,0.8687460025552188,0.723955002129349,S_sens095
cover,FED - FOD,SDF–DOF,FDR,-3.833944996551256,192,0.2766911469771358,2.522087023806964e-4,1.261043511903482e-4,S_sens095
cover,FES - FOD,SSdF–DOF,FDR,-4.922288044398364,226,0.3274257302263814,5.132291212814883e-6,8.553818688024805e-7,S_sens095
cover,FED - FOM,SDF–MOF,FDR,0.49710010026936435,116,0.046154585613683005,0.928677695891313,0.619118463927542,S_sens095
cover,FES - FOM,SSdF–MOF,FDR,0.19351790227730944,150,0.015800670555772896,0.8465533870528439,0.8465533870528439,S_sens095
cover,FOD - FOM,DOF–MOF,FDR,4.5237706614698805,196,0.32312647581927717,1.822426430780832e-5,6.07475476926944e-6,S_sens095
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,5.166486862587327,146,0.4275814950864045,1.4312097621337435e-6,2.385349603556239e-7,S_sens095
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.8060264132859163,192,0.05816994583557154,1,0.42022761940512376,S_sens095
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,-5.529490683814521,226,0.367816248987768,1.9269711320219564e-7,3.211618553369927e-8,S_sens095
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,3.6844118499432863,116,0.3420890522293779,0.0013753880301780423,2.2923133836300703e-4,S_sens095
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,-1.1685244761204747,150,0.09540962394827299,1,0.24259527224494182,S_sens095
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,3.5914153572252348,196,0.25652966837323105,0.0019733219627707087,3.2888699379511816e-4,S_sens095
fhd_normal,FED - FES,SDF–SSdF,FDR,5.166486862587327,146,0.4275814950864045,7.156048810668718e-7,2.385349603556239e-7,S_sens095
fhd_normal,FED - FOD,SDF–DOF,FDR,0.8060264132859163,192,0.05816994583557154,0.42022761940512376,0.42022761940512376,S_sens095
fhd_normal,FES - FOD,SSdF–DOF,FDR,-5.529490683814521,226,0.367816248987768,1.9269711320219564e-7,3.211618553369927e-8,S_sens095
fhd_normal,FED - FOM,SDF–MOF,FDR,3.6844118499432863,116,0.3420890522293779,4.5846267672601407e-4,2.2923133836300703e-4,S_sens095
fhd_normal,FES - FOM,SSdF–MOF,FDR,-1.1685244761204747,150,0.09540962394827299,0.29111432669393017,0.24259527224494182,S_sens095
fhd_normal,FOD - FOM,DOF–MOF,FDR,3.5914153572252348,196,0.25652966837323105,4.933304906926772e-4,3.2888699379511816e-4,S_sens095
